x,y,q1,q2
2016-11-06,248.66696879343758,98.0458444850817,628.3408434302559
2016-11-13,184.27196316252721,61.441660599907024,548.7243347520446
2016-11-20,259.56333058513314,100.52554080092216,667.7307322868326
2016-11-27,278.06083544907415,106.59029148124728,722.8101952266637
2016-12-04,241.692778009745,87.0963595979386,667.583636905078
2016-12-11,233.7410249658783,92.0662569583436,591.0872999834444
2016-12-18,216.69935626924195,83.93718981421131,556.9771337350361
2016-12-25,259.20420294192843,104.22574905320154,642.4378261770548
2017-01-01,404.8073121320075,145.1552634225886,1125.7440578151152
2017-01-08,457.04127539916215,160.97653343850223,1294.2605264203085
2017-02-05,404.7457935313449,140.8267625073731,1159.7798560572953
2017-02-12,377.19269994160254,142.29144363931908,997.1734753761092
2017-02-19,244.59584499979303,94.78932432117637,628.6872799616133
2017-03-12,186.0318847690156,73.25494634063323,470.0921984884438
2017-03-19,279.0341014188096,106.59155935596421,727.8592007296069
2017-03-26,316.3040225927665,113.224460832407,880.4385466986254
2017-04-23,194.63297845238992,73.53276070660442,512.4958358621743
2017-04-30,179.99819961467108,66.44387490624254,484.7423792641554
2017-05-07,133.79025970772028,49.90039534385207,355.9405304092423
2017-06-04,154.99184040121517,58.17946054055696,410.1807382069991
2017-06-11,106.12942151683632,40.28366272376643,276.99648086760016
2017-07-09,108.88399175095077,40.50952587709738,289.8848363836659
2017-07-16,93.3609094927044,36.59558962770615,235.835791869814
2017-07-23,109.3301733548323,38.164519231837296,309.810585480441
2017-08-20,93.0445627507019,36.23433116091564,236.53293015383952
2017-08-27,88.42403362409816,31.19523503116266,247.38016501086733
2017-09-03,81.1242781642737,30.487614865206748,213.19205909608092
2017-09-24,86.07263276563279,32.136522155722744,227.80021449171244
2017-10-01,85.55946572184557,32.067585467668856,225.58264884132646
2017-10-08,79.63827340122367,28.09906057476189,222.46189219490654
2017-11-05,85.4070147734715,32.116055416459865,224.4547562555402
2017-11-12,85.40818905725945,31.352927659663763,229.77896426244743
2017-11-19,83.50067289688533,32.5529389607413,211.80889070197426
2017-12-17,144.62133964393888,56.077272426251,370.52396493884544
2017-12-24,82.77394661671548,29.770796215272668,227.07580546963445
2018-01-21,136.95767531344646,47.706951893952706,389.7516163057886
2018-01-28,172.20451138047562,61.776284557976844,476.8843312213402
2018-02-04,161.50207133330665,55.653388824559514,465.1137442173195
2018-03-04,159.85621016609437,60.39606244810339,420.4394102369346
2018-03-11,176.19628920429733,66.0311279359521,467.4170753888269
2018-03-18,179.20189432855736,66.28267685204361,481.63125426785416
2018-04-15,297.84286383908085,115.01100016770809,768.8154238687638
2018-04-22,320.7380326104113,125.34153075624333,818.3296456707902
2018-05-20,276.8658727297941,111.13875949031186,687.5170085599224
2018-05-27,245.2481962704508,94.32137678716693,635.1445481619832
2018-06-03,285.7216398847439,110.0450009124788,739.3241758086059
2018-07-01,180.89955735134387,66.79182271597828,487.07433756779994
2018-07-08,108.73982767101522,40.389373113035084,289.96429521594683
2018-07-15,110.15763848124861,41.14253831315988,292.19592713924254
2018-08-05,99.94974735856398,34.54951084177822,285.66643367090956
2018-08-12,121.56998214636847,43.63012367391255,335.6201857993651
2018-08-19,105.42371545006789,38.147356543234395,288.317292667988
2018-09-16,106.28994786182491,40.71267740338406,274.9624562306143
2018-09-23,98.45717259314326,37.15364526338017,258.26039601034813
2018-09-30,121.04730404155396,42.15367235954764,344.17443381654414
2018-10-28,161.4884669043186,56.41935729881101,458.8188332118891
2018-11-04,175.3934387152878,63.888324680996305,478.5106881672423
2018-12-02,172.49110799175583,58.28613583664717,506.69314153211417
2018-12-09,294.5723340425819,111.25393904897079,777.2622631466631
2018-12-16,117.35949303778337,44.50757016472405,306.83822430977375
2019-01-13,568.383158051366,206.5984115462567,1560.6554012038278
2019-01-20,686.5768694336509,254.93399910104424,1846.2026109885098
2019-01-27,945.3086365029365,351.52252435584353,2539.26331269576
2019-02-17,1281.420729883303,480.5952452579204,3413.9069049750437
2019-02-24,1091.2557488244604,407.77234164143954,2917.550252322501
